,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temperature,Wind Speed
123,Mezhdurechensk,29,RU,1557530398,46,53.69,88.07,37.85,2.39
124,Hami,34,CN,1557530398,27,42.84,93.51,59.99,9.95
125,Denpasar,40,ID,1557527400,88,-8.65,115.22,77.0,3.36
126,Ambanja,35,MG,1557530399,76,-13.68,48.45,81.23,4.94
127,Nikolskoye,0,RU,1557530106,82,59.7,30.79,55.47,2.24
128,Adrar,0,DZ,1557525600,9,27.87,-0.29,91.4,16.11
129,Mount Gambier,90,AU,1557525600,93,-37.83,140.78,50.0,6.93
130,Lompoc,75,US,1557530206,72,34.64,-120.46,64.06,8.05
131,Devils Lake,75,US,1557530100,27,48.11,-98.87,63.3,23.04
132,Ribeira Grande,75,PT,1557527400,93,38.52,-28.7,64.4,19.46
133,Hilo,1,US,1557530368,57,19.71,-155.08,78.33,10.29
134,Cabo San Lucas,5,MX,1557530173,47,22.89,-109.91,76.53,16.11
135,Saldanha,0,PT,1557530404,88,41.42,-6.55,49.91,3.94
136,Lazurne,11,UA,1557530405,91,46.77,34.99,48.29,6.17
137,Manyana,75,AU,1557530230,58,-35.26,150.51,59.25,16.11
138,Levice,0,SK,1557529831,87,48.22,18.6,47.8,1.12
139,Saint George,20,GR,1557525000,67,39.45,22.34,59.2,4.99
140,Qaanaaq,100,GL,1557530406,73,77.48,-69.36,24.71,0.72
141,Karratha,0,AU,1557530407,23,-20.74,116.85,68.81,23.09
142,Katsuura,40,JP,1557529771,77,33.93,134.5,63.19,4.7
143,Port Hardy,5,CA,1557529200,56,50.7,-127.42,68.0,10.29
144,Zhovti Vody,0,UA,1557527400,87,48.35,33.5,50.0,2.24
145,Daokou,0,CN,1557530408,59,35.61,105.12,49.91,7.09
146,Sorong,48,ID,1557530408,75,-0.86,131.25,83.75,4.61
147,New Norfolk,40,AU,1557530355,70,-42.78,147.06,50.7,6.93
148,Mareeba,62,AU,1557530118,44,-16.99,145.42,77.56,18.34
149,Provideniya,52,RU,1557530409,66,64.42,-173.23,34.79,5.66
150,Praia da Vitoria,75,PT,1557530122,93,38.73,-27.07,65.64,27.98
151,Barcelos,90,PT,1557530224,100,41.53,-8.62,56.55,3.36
152,Padang,20,ID,1557525600,94,-0.92,100.36,73.4,4.7
153,Leningradskiy,76,RU,1557530410,83,69.38,178.42,20.93,7.07
154,Zhuhai,0,CN,1557525600,87,40.71,112.04,44.6,4.47
155,Geraldton,75,CA,1557529200,42,49.72,-86.95,48.2,8.05
156,Gondanglegi,31,ID,1557530411,78,-7.75,112.01,76.91,3.67
157,Hastings,29,NZ,1557530412,59,-39.64,176.84,67.37,1.9
158,Ponta Delgada,75,PT,1557527400,93,37.73,-25.67,64.4,11.41
159,Vardo,75,US,1557530412,50,39.62,-77.74,71.78,19.46
160,Taksimo,98,RU,1557530416,65,56.36,114.84,31.37,5.44
161,Dali,0,CN,1557530416,66,25.6,100.24,60.53,2.33
162,Seoul,1,KR,1557528600,71,37.57,126.98,57.87,1.12
163,Berlevag,37,NO,1557530420,78,70.86,29.09,40.73,20.89
164,Russkiy,21,RU,1557530420,90,44.21,40.02,47.75,4.05
165,Ust-Shonosha,11,RU,1557530421,83,61.15,41.34,58.01,6.85
166,Avarua,17,CK,1557527400,74,-21.21,-159.78,80.6,10.29
167,Swellendam,0,ZA,1557529200,87,-34.02,20.44,48.2,4.7
168,Grafton,0,AU,1557530293,48,-29.69,152.93,57.99,5.82
169,Mabaruma,100,GY,1557530422,91,8.2,-59.78,76.01,2.77
170,Pangnirtung,75,CA,1557525600,86,66.15,-65.72,37.4,6.93
171,Fairbanks,75,US,1557530265,32,64.84,-147.72,65.34,9.17
172,Sokoto,100,NG,1557530423,38,13.06,5.24,89.15,15.84
173,Etaples,100,FR,1557530193,93,50.52,1.63,50.22,6.93
174,Ilulissat,12,GL,1557528600,77,69.22,-51.1,32.0,3.36
175,Mae Sot,99,MM,1557530424,87,16.71,98.57,75.83,1.01
176,Harrisonburg,90,US,1557530409,65,38.45,-78.87,72.14,8.05
177,Doha,0,QA,1557527400,40,25.29,51.53,84.63,6.93
178,Pompeu,75,BR,1557525600,83,-21.05,-48.85,75.2,5.82
179,Murgab,20,TM,1557525600,50,37.5,61.97,75.2,5.44
180,Djenne,57,ML,1557530425,13,13.91,-4.55,98.87,5.64
181,Fort Nelson,20,CA,1557529200,30,58.81,-122.69,69.8,4.7
182,Codrington,0,AU,1557530330,41,-28.95,153.24,62.46,10.29
183,Bethel,90,US,1557528780,93,60.79,-161.76,48.2,8.05
184,Samarai,59,PG,1557530428,52,-10.62,150.67,83.21,6.4
185,Inhambane,0,MZ,1557530428,92,-23.87,35.38,62.69,2.71
186,Hongjiang,0,CN,1557530428,71,27.21,109.83,68.81,1.57
187,Baker City,1,US,1557530270,17,44.77,-117.83,73.4,5.82
188,Skjervoy,93,NO,1557530429,79,70.03,20.97,41.99,11.88
189,Gordeyevka,100,RU,1557530430,91,52.96,31.97,49.37,3.56
190,Adwa,72,ET,1557530430,38,14.16,38.9,70.25,4.14
191,Natal,20,BR,1557529200,83,-5.81,-35.21,78.8,5.82
192,Ternate,75,PH,1557530321,83,14.29,120.72,82.13,2.24
193,Menongue,0,AO,1557530431,46,-14.66,17.68,55.49,4.0
194,Sao Filipe,0,CV,1557530376,80,14.9,-24.5,73.85,18.59
195,Goba,72,ET,1557530431,91,7.01,39.97,47.75,3.2
196,San Quintin,100,PH,1557530432,70,17.54,120.52,83.75,3.6
197,Filadelfia,100,PY,1557530432,94,-22.35,-60.04,74.03,8.48
198,Erdenet,100,MN,1557530432,80,49.03,104.04,23.45,8.5
199,Pampa,90,US,1557530224,76,35.54,-100.96,49.78,9.17
200,Caravelas,36,BR,1557530433,72,-17.73,-39.27,76.73,6.08
201,Turukhansk,100,RU,1557530433,93,65.8,87.96,31.37,12.35
202,Souris,90,CA,1557530424,93,46.36,-62.25,40.96,5.82
203,Souillac,90,FR,1557530291,82,45.6,-0.6,56.89,13.87
204,Altoona,75,US,1557530126,72,40.52,-78.39,65.8,10.29
205,Iqaluit,75,CA,1557529370,86,63.75,-68.52,34.5,6.93
206,Mitsamiouli,53,KM,1557530435,74,-11.38,43.28,82.31,7.99
207,Puerto Santander,40,VE,1557525600,66,8.35,-72.41,84.2,12.75
208,Bathsheba,40,BB,1557525600,83,13.22,-59.52,80.6,20.8
209,Honningsvag,42,NO,1557530436,74,70.98,25.97,40.73,9.82
210,Dalbandin,29,PK,1557530436,19,28.9,64.41,81.77,1.97
211,Prince George,1,CA,1557530190,23,53.92,-122.75,77.5,5.82
212,Svetlaya,0,RU,1557530437,42,46.54,138.33,51.71,4.47
213,Guasdualito,40,VE,1557525600,55,7.24,-70.73,89.6,3.36
214,Marsala,0,IT,1557530407,82,37.8,12.44,61.41,3.36
215,Staryy Nadym,1,RU,1557530438,85,65.61,72.68,28.85,14.03
216,Vestmanna,79,FO,1557528600,58,62.16,-7.17,37.4,2.24
217,Curup,93,ID,1557530438,90,-3.47,102.53,67.91,1.05
218,Ruteng,33,ID,1557530439,67,-8.61,120.46,78.89,3.6
219,Norman Wells,75,CA,1557529200,49,65.28,-126.83,55.4,18.34
220,Mar del Plata,72,AR,1557530439,55,-46.43,-67.52,56.75,21.47
221,Vanavara,100,RU,1557530439,70,60.35,102.28,35.69,8.75
222,Warwick,75,US,1557530424,82,41.7,-71.42,60.19,11.41
223,Umm Kaddadah,36,SD,1557530440,17,13.6,26.69,80.51,13.33
224,Ghanzi,34,BW,1557530440,31,-21.7,21.65,67.73,5.03
225,Santander de Quilichao,75,CO,1557529200,65,3.01,-76.49,78.8,11.41
226,Te Anau,100,NZ,1557530441,76,-45.41,167.72,51.89,5.48
227,Tasiilaq,12,GL,1557528600,88,65.61,-37.64,32.0,5.82
228,Moose Factory,90,CA,1557529200,80,51.26,-80.61,41.0,10.29
229,Salym,51,RU,1557530442,74,60.06,71.48,42.71,8.43
230,Mont-Dore,75,NC,1557527400,61,-22.23,166.53,82.4,5.82
231,Ayagoz,0,KZ,1557530443,41,47.96,80.43,41.27,18.63
232,Anzio,0,IT,1557530441,76,41.45,12.63,54.39,4.7
233,Ponta do Sol,99,BR,1557530443,96,-20.63,-46.0,64.67,3.29
234,Brae,38,GB,1557526800,86,60.4,-1.35,35.91,5.03
235,Victoria,75,BN,1557527400,83,5.28,115.24,81.23,1.12
236,Ust-Kulom,0,RU,1557530444,82,61.69,53.69,48.29,4.52
237,Kharp,100,RU,1557530445,96,66.82,65.8,23.63,7.99
238,Mount Isa,38,AU,1557527400,32,-20.73,139.49,55.4,14.99
239,Vershino-Shakhtaminskiy,100,RU,1557530445,30,51.3,117.89,38.57,7.45
240,Tsabong,0,BW,1557530445,23,-26.02,22.4,67.01,9.31
241,Rorvik,100,NO,1557530402,75,64.86,11.24,48.99,1.99
242,Hokitika,94,NZ,1557530446,72,-42.72,170.96,61.61,4.76
243,Buraydah,0,SA,1557525600,22,26.33,43.97,78.8,8.05
244,Clarence Town,75,AU,1557530444,66,-32.59,151.78,58.37,23.04
245,Kaitangata,99,NZ,1557530423,91,-46.28,169.85,53.01,3.0
246,Touros,0,BR,1557529200,88,-5.2,-35.46,78.8,3.36
247,Kathmandu,20,NP,1557526800,48,27.71,85.32,84.2,4.7
248,Puqi,9,CN,1557530448,48,29.72,113.88,74.03,2.91
249,Mananjary,86,MG,1557530448,93,-19.16,46.8,61.25,4.97
250,Petrozavodsk,100,RU,1557525600,76,61.79,34.39,55.4,4.47
251,Cidreira,100,BR,1557530449,91,-30.17,-50.22,70.61,1.92
252,Buritis,18,BR,1557530449,74,-15.62,-46.42,72.77,3.67
253,Salalah,75,OM,1557525000,83,17.01,54.1,82.4,5.82
254,Leshukonskoye,0,RU,1557530450,68,64.9,45.76,46.67,6.29
255,Rocha,37,UY,1557530450,91,-34.48,-54.34,55.67,9.4
256,Ewa Beach,1,US,1557530047,58,21.32,-158.01,81.19,10.29
257,Nishihara,0,JP,1557530405,68,35.74,139.53,69.17,2.24
258,Westport,26,IE,1557530292,84,53.8,-9.52,43.11,14.14
259,Isla Vista,75,US,1557530441,72,34.41,-119.86,63.52,8.05
260,Mayahi,100,NE,1557530452,38,13.95,7.67,87.53,23.4
261,Kahului,20,US,1557530429,58,20.89,-156.47,80.19,17.22
262,Chuy,1,UY,1557530452,81,-33.69,-53.46,64.13,15.1
263,Xuddur,66,SO,1557530453,83,4.12,43.89,76.37,14.54
264,Soure,75,PT,1557530418,93,40.06,-8.63,58.51,4.7
265,Ludinghausen,53,DE,1557530433,93,51.77,7.47,46.42,4.7
266,Dingle,67,PH,1557530454,64,11.0,122.67,85.55,4.05
267,Pontes e Lacerda,0,BR,1557530454,73,-15.23,-59.33,75.83,2.98
268,Nemuro,39,JP,1557530401,81,43.32,145.57,39.11,8.48
269,Lavrentiya,95,RU,1557530455,97,65.58,-170.99,30.11,11.1
270,Alofi,40,NU,1557525600,61,-19.06,-169.92,80.6,13.87
271,Cumra,40,TR,1557528600,61,37.57,32.77,48.16,3.36
272,Portland,1,US,1557530345,10,45.52,-122.67,85.73,3.36
273,Aklavik,75,CA,1557529200,51,68.22,-135.01,41.25,5.82
274,Avera,40,US,1557530428,74,33.19,-82.53,82.33,4.7
275,Hamilton,75,CA,1557530299,70,43.26,-79.87,47.57,13.87
276,Enshi,78,CN,1557530457,69,30.29,109.48,63.41,1.14
277,Baruun-Urt,95,MN,1557530457,61,46.68,113.28,34.25,24.49
278,Marawi,66,PH,1557530171,77,8.0,124.29,79.0,7.0
279,French Harbor,75,HN,1557529200,79,16.35,-86.43,84.2,18.34
280,Vao,50,EE,1557530458,97,59.1,26.19,43.79,3.27
281,Podgorenskiy,22,RU,1557530459,96,50.4,39.64,46.85,7.76
282,Kushiro,40,JP,1557525600,65,43.11,144.15,46.4,10.29
283,Nelson Bay,75,AU,1557530444,66,-32.72,152.14,58.51,23.04
284,Ancud,90,CL,1557525600,100,-41.87,-73.83,51.8,19.46
285,Miles City,1,US,1557530457,27,46.41,-105.84,58.64,10.29
286,Crotone,0,IT,1557530461,59,39.09,17.12,57.65,5.64
287,Altay,86,CN,1557530293,31,47.83,88.13,30.65,11.23
288,Udayagiri,87,IN,1557530462,80,12.32,76.68,74.57,4.03
289,Talnakh,75,RU,1557527400,92,69.49,88.39,26.6,11.18
290,Trairi,100,BR,1557530463,96,-3.28,-39.27,74.21,3.67
291,Guerrero Negro,3,MX,1557530463,75,27.97,-114.04,63.95,12.06
292,Wajima,94,JP,1557530463,69,37.4,136.9,62.33,3.36
293,Ulkan,9,RU,1557530464,56,57.24,107.32,38.21,7.67
294,Am Timan,38,TD,1557530464,38,11.04,20.28,89.33,2.04
295,Fukue,75,JP,1557530383,72,35.03,136.69,75.61,5.82
296,Paamiut,62,GL,1557530465,93,61.99,-49.67,37.49,8.05
297,Maragogi,79,BR,1557530465,91,-9.01,-35.22,74.57,2.91
298,Namibe,23,AO,1557530465,84,-15.19,12.15,74.75,2.51
299,Nome,40,US,1557530409,73,30.04,-94.42,76.12,8.05
300,Tuatapere,96,NZ,1557530405,86,-46.13,167.69,57.99,1.99
301,Matagami,100,NG,1557530469,84,9.67,8.4,75.29,4.29
302,Sabha,0,LY,1557530470,9,27.03,14.43,84.83,7.25
303,Tolbazy,40,RU,1557527400,87,54.01,55.89,53.6,6.71
304,Laramie,40,US,1557530382,31,41.31,-105.59,47.53,9.17
305,Bellmead,90,US,1557530420,72,31.59,-97.11,60.75,9.17
306,Port Blair,100,IN,1557530471,77,11.67,92.75,84.83,11.92
307,Poum,1,MK,1557530471,84,41.28,20.71,42.53,2.86
308,Luderitz,0,NA,1557525600,49,-26.65,15.16,68.0,4.7
309,Bemidji,40,US,1557530437,24,47.48,-94.89,57.33,9.17
310,Algiers,90,US,1557530458,83,29.94,-90.04,79.3,5.82
311,Raymondville,40,US,1557530453,54,37.34,-91.83,60.8,8.05
312,Skelleftea,100,SE,1557530337,100,64.75,20.95,41.92,2.24
313,Pyapon,99,MM,1557530473,74,16.29,95.68,83.21,9.78
314,Hasaki,75,JP,1557527400,77,35.73,140.83,62.11,3.36
315,Egvekinot,83,RU,1557530474,90,66.32,-179.17,19.31,10.09
316,Sioux Lookout,75,CA,1557525600,31,50.1,-91.92,52.23,10.29
317,Wlodawa,40,PL,1557527400,93,51.55,23.55,41.0,1.12
318,Banfora,55,BF,1557530474,57,10.64,-4.75,87.53,2.48
319,Rio Gallegos,75,AR,1557525600,50,-51.62,-69.22,51.8,16.11
320,West Wendover,1,US,1557525360,22,40.74,-114.07,64.4,11.41
321,Lamar,90,US,1557530140,57,38.09,-102.62,51.91,9.17
322,Vaitape,48,PF,1557530476,74,-16.52,-151.75,83.21,10.58
323,Charters Towers,53,AU,1557530476,32,-20.07,146.27,64.49,21.81
324,Lalibela,36,ET,1557530476,42,12.04,39.05,65.21,5.7
325,Buala,66,SB,1557530476,78,-8.15,159.59,82.85,8.72
326,Sapele,96,NG,1557530477,83,5.89,5.68,80.87,2.66
327,Lobva,0,RU,1557530477,79,59.19,60.52,49.91,6.13
328,Pangody,0,RU,1557530477,88,65.85,74.49,26.69,16.82
329,Awjilah,0,LY,1557530478,37,29.14,21.3,74.57,12.28
330,Sola,75,FI,1557530225,100,62.78,29.36,50.99,2.24
331,Wagar,100,US,1557530414,86,31.44,-87.99,77.63,3.11
332,Matara,14,PE,1557530479,84,-13.74,-72.9,41.09,5.91
333,Yaan,91,NG,1557530479,81,7.38,8.57,79.61,4.83
334,Tygda,96,RU,1557530479,71,53.11,126.33,54.77,4.85
335,Sao Gabriel da Cachoeira,69,BR,1557530480,89,-0.13,-67.09,76.55,1.43
336,Constitucion,5,MX,1557530415,10,23.99,-104.67,77.81,14.99
337,Esperance,20,TT,1557530409,74,10.24,-61.45,82.87,13.87
338,Manta,27,RO,1557530481,80,45.1,24.1,45.59,4.94
339,Calama,0,CL,1557525600,24,-22.46,-68.93,59.0,21.92
340,Pa Sang,20,TH,1557530471,65,18.53,98.94,84.11,2.24
341,Cherskiy,100,RU,1557530482,100,68.75,161.3,32.99,5.61
342,Coos Bay,1,US,1557530431,76,43.37,-124.22,64.94,8.05
343,Hualmay,13,PE,1557530482,90,-11.1,-77.61,66.83,18.54
344,Lorengau,72,PG,1557530482,70,-2.02,147.27,85.01,6.87
345,Maniitsoq,2,GL,1557530483,77,65.42,-52.9,36.95,1.68
346,Kiunga,100,PG,1557530483,82,-6.12,141.3,81.77,1.32
347,Ngunguru,0,NZ,1557529684,84,-35.62,174.5,66.0,3.0
348,Chumikan,100,RU,1557530484,40,54.72,135.31,45.23,5.17
349,Bocas del Toro,93,PA,1557530400,92,9.33,-82.25,59.0,3.33
350,Corsicana,90,US,1557530467,82,32.09,-96.46,59.83,5.82
351,Jose Bonifacio,75,BR,1557525600,83,-21.05,-49.69,75.2,5.82
352,Clyde River,75,CA,1557525600,92,70.47,-68.59,30.2,10.29
353,Svetlogorsk,90,RU,1557527400,72,53.14,59.15,59.0,4.47
354,Palmer,75,AU,1557530446,77,-34.85,139.16,56.8,11.41
355,Vilhena,20,BR,1557525600,74,-12.74,-60.15,80.6,3.36
356,Dunedin,99,NZ,1557530448,86,-45.87,170.5,55.99,10.0
357,Simga,14,IN,1557530496,18,21.63,81.7,93.47,0.94
358,Port-Gentil,40,GA,1557529200,94,-0.72,8.78,80.6,6.93
359,Kavieng,43,PG,1557530496,72,-2.57,150.8,84.11,6.98
360,Carutapera,100,BR,1557530497,91,-1.2,-46.02,77.99,5.32
361,Qasigiannguit,13,GL,1557528600,76,68.82,-51.19,32.0,3.36
362,Evensk,0,RU,1557530497,49,61.92,159.24,48.65,7.72
363,Artyshta,53,RU,1557530498,41,54.12,86.29,43.25,3.83
364,Kaka,99,TM,1557530498,28,37.35,59.62,83.03,4.61
365,Gazanjyk,100,TM,1557530498,25,39.24,55.52,85.73,7.0
366,Jumla,0,NP,1557530499,36,29.28,82.18,41.81,5.61
367,Abonnema,75,NG,1557525600,94,4.71,6.79,77.0,1.52
368,Belmonte,17,PT,1557530136,92,40.36,-7.35,48.0,2.01
369,Pailon,75,BO,1557525600,83,-17.66,-62.72,77.86,8.05
370,Atar,0,MR,1557530500,5,20.52,-13.05,90.77,3.85
371,Madison Heights,40,US,1557530470,63,42.49,-83.11,55.89,9.17
372,Arman,66,RU,1557530500,51,59.7,150.17,53.87,4.38
373,Elko,1,US,1557530112,16,40.83,-115.76,63.32,6.93
374,Lianzhou,7,CN,1557530501,68,24.79,112.38,71.51,0.11
375,Bom Jesus,51,BR,1557530502,70,-9.08,-44.36,77.81,2.39
